,category,date&time,description,link,title
9,technology,"Wed, 29 Nov 2017 05:19:16 GMT",none,https://economictimes.indiatimes.com/tech/your-last-fb-post-could-decide-how-customer-care-treats-you/articleshow/61845388.cms,Your last FB post could decide how customer care treats you
10,technology,"Wed, 29 Nov 2017 05:13:18 GMT",none,https://economictimes.indiatimes.com/tech/net-neutrality-exemptions-fine-experts/articleshow/61845329.cms,Net neutrality exemptions fine: Experts
11,technology,"Tue, 28 Nov 2017 19:51:05 GMT",none,https://economictimes.indiatimes.com/tech/itu-panel-to-examine-net-neutrality/articleshow/61841811.cms,ITU panel to examine net neutrality
12,technology,"Tue, 28 Nov 2017 19:48:12 GMT",none,https://economictimes.indiatimes.com/tech/googles-artificial-intelligence-can-block-shoulder-snooping/articleshow/61841799.cms,Google's artificial intelligence can block shoulder snooping
13,technology,"Tue, 28 Nov 2017 18:13:21 GMT",none,https://economictimes.indiatimes.com/tech/indias-digital-story-will-become-beacon-for-world-ravi-shankar-prasad/articleshow/61840552.cms,India’s digital story will become beacon for world: Ravi Shankar Prasad
14,technology,"Tue, 28 Nov 2017 18:04:24 GMT",none,https://economictimes.indiatimes.com/tech/telcos-slam-trai-views-on-net-neutrality-term-move-to-set-up-a-monitoring-body-draconian/articleshow/61840406.cms,"Telcos slam Trai views on net neutrality, term move to set up a monitoring body 'draconian'"
0,top_stories,"Thu, 30 Nov 2017 12:05:22 GMT","NEW DELHI: India's economic growth rebounded in the three months ending in September, halting a five-quarter slide as businesses started to overcome teething troubles after the bumpy launch of a national sales tax.  Data released on Thursday showing the growth could help Prime Minister Narendra Modi, who has been facing criticism over the hasty July launch of a goods and services tax (GST).  The tax was aimed at transforming India's 29 states into a single customs union but it has hit millions of small businesses due to complex rules and technical glitches.  ""Upbeat corporate earnings results have been reflected in the manufacturing sector,"" said Tushar Arora, senior economist at HDFC Bank.  The manufacturing sector grew at 7 per cent in the September quarter compared with 1.2 per cent the previous quarter, the data released by the Ministry of Statistics showed.  The economy has broadly moved past the disruptions encountered after a shock ban on high-value banknotes in November 2016, economists said.  Gross domestic product grew 6.3 per cent in July-September, its fastest pace in three quarters, compared with 7.5 per cent a year earlier, the data showed.  Analysts polled by Reuters had forecast annual growth of 6.4 per cent in the quarter.  Economic growth picked up from 5.7 per cent in April-June, but lagged China's 6.8 per cent and Philippines' 6.9 per cent for the three months through September.  In July-September, auto sales, manufacturing, construction, electricity generation grew more quickly than in the previous quarter.  Annual growth in consumer spending, which powers more than half of the $2.3 trillion economy, slowed to 1.5 per cent in the September quarter from 6.7 per cent in the previous quarter.  Government spending slowed in the quarter, growing 1.3 per cent year-on-year compared with a near 17.2 per cent year-on-year growth in the June quarter.  On Nov. 17, Moody's upgraded India's sovereign credit rating for the first time in nearly 14 years, saying continued progress on economic and institutional reforms would boost its growth potential.  The agency expects the economy to grow 6.7 per cent in the fiscal year ending March 31, and 7.5 per cent the following year.  ",https://economictimes.indiatimes.com,"India breaks 5-quarter slump, GDP growth rises to 6.3% in Q2"
1,top_stories,"Thu, 30 Nov 2017 10:42:43 GMT","“The Market, unlike the Lord, does not forgive those who don’t know what they do”- Warren Buffett  There have been these WhatsApp messages floating around, saying that “If you bought bitcoin worth Rs 1 Lakh on January 1, 2013, it would be worth Rs 8 crore today.”  Wonderful! But if you didn’t understand what bitcoin was on January 1, 2013 and you still don’t understand what it is, would that gain have any meaning? Would you still be able to justify why you kept holding on to it apart from just dumb luck?  A lot of times we get a sense that all our neighbours are getting richer and we are being left behind. In market parlance, it’s called FOMO – fear of missing out. We sometimes deal with this by asking why, instead of what has that person figured out to become richer than us.  This, perhaps, comes from the fact that we perceive that person to be our peer in circumstances but this sudden change of fortune leaves us pondering over our personal status. To paraphrase a dialog from my favourite film Three Idiots, which captures this feeling very well – “When a friend fails in exam, you feel bad, but when a friend comes first in the same exam, you feel worse.”  Religious scriptures define the sins that hold a man back from living a virtuous life. Among these, envy is the most curious one. All the other sins allow us some level of pleasure, no matter how momentary. Envy is the only sin that doesn’t lead to any enjoyment while we are committing it.  It becomes a fruitless endeavour to compare our situation with that of others who come from a different background and knowledge. Allowing luck to distort our view of the world and just because someone had more of something we always longed for is a sure way to feel permanently disgruntled.  Does it have a cure? Envy has an easy cure. Knowing where we come from goes a long way in understanding what we may be able to achieve. Of course luck can help along the way, but figuring out what we can know, can understand and then act on it will lead to far less envy than in any other case.  Also it helps a lot if we do not keep looking over our fences into how well our neighbours are doing. Just like we may not pity them if they were less fortunate than us, we can also avoid feeling envious in case they do better than us.  We mostly hear only of the positive cases because of sheer survival of the winners. Since no one particularly enjoys talking about their losses or defeats, we are blissfully unaware of the pitfalls some people have fallen into.  Envy, after all, is not a sign of weakness but a sign of empathy working against us.  Transactions happen in the market because there’s a difference of opinion about the value of a security. If opinions occasionally tilt significantly in one direction some people who participated feel enriched and the rest who didn’t participate feel left out. It’s how markets have functioned since the time they’ve been around. We don’t need to unduly beat ourselves up just because someone did better than us. To avoid Market Envy, we should endeavour not to follow this famous quote: “Envy is the art of counting the other fellow’s blessings, instead of our own”",https://economictimes.indiatimes.com,Have you been googling Bitcoin? You may be suffering from FOMO
2,top_stories,"Thu, 30 Nov 2017 10:10:23 GMT","It is clear that Prime Minister Narendra Modi wants homes to be more affordable for the masses. The real estate sector has been under his hard gaze as is evident from the Real Estate Regulation Act (RERA) which came into force a few months ago.  Modi is tightening his grip on the real estate sector. A magnet for black money, real estate sector is, however, not exactly consumer-friendly, especially for the middle-class buyers. Homebuyers have been at the mercy of builders that often delay deliveries and overcharge.  One more regulation the government is planning to bring will discipline the profit-seekers who have kept the prices high in this essential sector. Unrealistically high home prices might come down if a revenue department proposal gets implemented. It plans to asks builders to pay taxes on their unsold stock of ready houses.  On the basis of a court order, which held that ready unsold flats held by builders as stock-in-trade are liable to be taxed as ""income from house property"" even if they are not rented out, the income tax department last week suggested the finance ministry that this was one way of garnering more taxes.  Real estate companies show their finished apartments as stock-in-trade and income from these are shown as business income, as in most other businesses. In a rising market, several developers hold apartments to benefit from the price appreciation that will accrue a few years after the project is complete.  With the new regulation, builders will have to either sell these properties soon, perhaps by offering discounts, or get into expensive litigation.  According to Liases Foras, the unsold inventory including properties that are under construction and completed has risen further from 734 million sq ft or about 734,000 apartments at the end of March to 765 million sq ft or about 760,000 apartments at the end of June.  Since many builders do not bring down prices according to the expectations of the consumers but would rather hold the inventory, a large number of middle-class home buyers are at the risk of 'missing the bus', or being priced out of the market. The Modi government's proactive approach on the real estate sector is expected to bring relief to such home buyers.  Another move which is being considered by the government is linking of property with Aadhaar. This will not only bring transparency to the sector which is the first and last resort of black money but also soften home prices. Union Housing Minister Hardeep Puri recently indicated that Aadhaar linkage with property transactions would be made mandatory.  Speaking to Nayantara Rai of ET NOW, Puri said such a move would go a long way in sucking out black money from real estate and also help in crackdown on benami properties. ""Seeding Aadhaar to property transaction is a great idea but I’m not going to make an announcement on that. We are already linking Aadhaar to bank accounts, etc, and we can take some additional steps for property market also,” he said.  Those who buy property to hoard black money jack up prices for end consumers. The Aadhaar linkage will hit at benami property and drive out black money from real estate, also making home prices affordable for end buyers.  ",https://economictimes.indiatimes.com,Real estate to get real: How Modi govt is setting India's Housing in order
3,top_stories,"Thu, 30 Nov 2017 09:46:22 GMT","India's fiscal deficit at the end of October hit 96.1 per cent of the budget estimate for 2017- 18, mainly due to lower revenue realisation and rise in expenditure.  In absolute terms, the fiscal deficit -- the difference between expenditure and revenue -- was Rs 5.25 lakh crore during April-October of 2017-18, according to data of the Controller General of Accounts (CGA).  During the same period of 2016-17, the deficit stood at 79.3 per cent of the target.  For 2017-18, the government aims to bring down the fiscal deficit to 3.2 per cent of GDP. Last fiscal, it had met the 3.5 per cent target.  The CGA data showed that the government's revenue receipts were at Rs 7.29 lakh crore in the seven months of the current fiscal, which work out to 48.1 per cent of the budget estimate (BE) of Rs 15.15 lakh crore for the entire year.  The receipts, comprising taxes and other items, were at 50.7 per cent of the target in the year-ago period.  As per the data, the government's total expenditure was Rs 12.92 lakh crore at October-end, or 60.2 per cent of the budget estimate. It was 58.2 per cent of the budget estimate a year ago.  Capital expenditure during April-October of 2017-18 was only 52.6 per cent of the BE compared to 50.7 per cent in the same period of the previous fiscal.  Revenue expenditure, including interest payment, was 61.5 per cent of the BE during April-October 2017-18. This compares with 59.2 per cent a year earlier.  ",https://economictimes.indiatimes.com,April-Oct fiscal deficit at 96% of full year's target
4,top_stories,"Sun, 29 Oct 2017 07:23:40 GMT"," The fence-sitting buyers are likely to come into the market with a firm intention to buy a home if lower interest rates coincide with a hard discount or some other money-saving offer, says property consultant Jones Lang LaSalle.  ""We keep hearing of the 'wait-and-watch' or 'fence-sitting' syndrome on the residential property market, which basically means that a significant number of people who want to buy a home are not doing so for various reasons, including expectation of price correction, lower interest rates, among others,"" Anarock Property Consultants CEO Ashwinder Raj Singh said.  It is frequently said that buyers may also be waiting for lower interest rates on home loans, especially in the affordable housing segment, he noted.  ""However, lower interest rates alone are not a sufficiently compelling rationale for aspiring mid-range housing buyers to abandon their 'wait-and-watch' mode.  ""If, however, the lower interest rates coincide with a hard discount or some other money-saving offer, many people will certainly come onto the market with a firm intention to finally buy a home,"" Singh said.  As long as unofficial discounts to serious buyers serve the purpose, it is unlikely that there will be an official correction of prices, he said.  ""In other words, it is unwise to wait for a formal price correction, since prices may not reduce and could even increase in certain locations and projects,"" Singh said. ""The best course of action for 'fence-sitting' buyers today is to short-list the properties they are interested in, ensure that they are RERA-compliant, negotiate the best possible deal with the developer and go in for purchase,"" he added.  ",https://economictimes.indiatimes.com,"'Lower rates, discounts to bring fence-sitting buyers in market'"
